Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Transmembrane
A0PK00,reviewed,T120B_HUMAN,Transmembrane protein 120B,TMEM120B,Homo sapiens (Human),339,"TRANSMEM 102..124; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 132..152; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 159..179; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 187..207; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 270..290; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 302..322; /note=""Helical""; /evidence=""ECO:0000255"""
A0PK11,reviewed,CLRN2_HUMAN,Clarin-2,CLRN2,Homo sapiens (Human),232,"TRANSMEM 10..30; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 101..121; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 139..159; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 188..208; /note=""Helical""; /evidence=""ECO:0000255"""
A1A5B4,reviewed,ANO9_HUMAN,Anoctamin-9 (Transmembrane protein 16J) (Tumor protein p53-inducible protein 5) (p53-induced gene 5 protein),ANO9 PIG5 TMEM16J TP53I5,Homo sapiens (Human),782,"TRANSMEM 199..219; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 265..285; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 332..352; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 374..394; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 424..444; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 553..573; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 605..625; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 704..724; /note=""Helical""; /evidence=""ECO:0000255"""
A1A5C7,reviewed,S22AN_HUMAN,Solute carrier family 22 member 23,SLC22A23 C6orf85,Homo sapiens (Human),686,"TRANSMEM 234..254; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 258..278; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 288..308; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 315..335; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 344..364; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 467..487; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 494..514; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 538..558; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 569..589; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 598..618; /note=""Helical""; /evidence=""ECO:0000255"""
A1KXE4,reviewed,F168B_HUMAN,Myelin-associated neurite-outgrowth inhibitor (Mani) (p20),FAM168B KIAA0280L MANI,Homo sapiens (Human),195,"TRANSMEM 19..42; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 143..164; /note=""Helical""; /evidence=""ECO:0000255"""
A1L0T0,reviewed,HACL2_HUMAN,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),ILVBL AHAS HACL2,Homo sapiens (Human),632,"TRANSMEM 13..33; /note=""Helical""; /evidence=""ECO:0000255"""
A1L3X0,reviewed,ELOV7_HUMAN,Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7),ELOVL7,Homo sapiens (Human),281,"TRANSMEM 28..48; /note=""Helical; Name=1""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 73..93; /note=""Helical; Name=2""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 116..136; /note=""Helical; Name=3""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 143..162; /note=""Helical; Name=4""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 172..194; /note=""Helical; Name=5""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 207..227; /note=""Helical; Name=6""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207""; TRANSMEM 237..257; /note=""Helical; Name=7""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03207"""
A2A2Y4,reviewed,FRMD3_HUMAN,FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O),FRMD3 EPB41L4O,Homo sapiens (Human),597,"TRANSMEM 531..551; /note=""Helical""; /evidence=""ECO:0000255"""
A2RU14,reviewed,TM218_HUMAN,Transmembrane protein 218,TMEM218,Homo sapiens (Human),115,"TRANSMEM 5..25; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 38..58; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 81..101; /note=""Helical""; /evidence=""ECO:0000255"""
A2VDJ0,reviewed,T131L_HUMAN,Transmembrane protein 131-like,TMEM131L KIAA0922,Homo sapiens (Human),1609,"TRANSMEM 870..890; /note=""Helical""; /evidence=""ECO:0000255"""
A4D256,reviewed,CC14C_HUMAN,Dual specificity protein phosphatase CDC14C (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog C),CDC14C CDC14B2 CDC14Bretro,Homo sapiens (Human),447,"TRANSMEM 426..446; /note=""Helical""; /evidence=""ECO:0000255"""
A5PLL7,reviewed,PDES1_HUMAN,Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189),PEDS1 KUA PDES TMEM189,Homo sapiens (Human),270,"TRANSMEM 47..67; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 74..94; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 161..181; /note=""Helical""; /evidence=""ECO:0000255"""
A5X5Y0,reviewed,5HT3E_HUMAN,5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E),HTR3E,Homo sapiens (Human),456,"TRANSMEM 249..269; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 283..303; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 308..328; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 434..454; /note=""Helical; Name=4""; /evidence=""ECO:0000255"""
A6BM72,reviewed,MEG11_HUMAN,Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11),MEGF11 KIAA1781 UNQ1949/PRO4432,Homo sapiens (Human),1044,"TRANSMEM 849..869; /note=""Helical""; /evidence=""ECO:0000255"""
A6NDV4,reviewed,TMM8B_HUMAN,Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6),TMEM8B C9orf127 NGX6,Homo sapiens (Human),472,"TRANSMEM 234..254; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 258..277; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 293..313; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 316..336; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 343..363; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 380..400; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 406..426; /note=""Helical""; /evidence=""ECO:0000255"""
A6NFA1,reviewed,TIKI2_HUMAN,"Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)",TRABD2B HKAT TIKI2,Homo sapiens (Human),517,"TRANSMEM 495..515; /note=""Helical""; /evidence=""ECO:0000255"""
A6NFX1,reviewed,MFS2B_HUMAN,Sphingosine-1-phosphate transporter MFSD2B (Major facilitator superfamily domain-containing protein 2B) (hMfsd2b),MFSD2B,Homo sapiens (Human),504,"TRANSMEM 113..133; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 150..170; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 185..205; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 233..253; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 287..307; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 320..340; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 350..370; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 373..393; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 412..432; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 459..479; /note=""Helical""; /evidence=""ECO:0000255"""
A6NGU5,reviewed,GGT3_HUMAN,Putative glutathione hydrolase 3 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 3) (Putative gamma-glutamyltranspeptidase 3) (GGT 3) (EC 2.3.2.2) [Cleaved into: Putative glutathione hydrolase 3 heavy chain; Putative glutathione hydrolase 3 light chain],GGT3P GGT3,Homo sapiens (Human),568,"TRANSMEM 5..26; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000305"""
A6NI61,reviewed,MYMK_HUMAN,Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C),MYMK TMEM226 TMEM8C,Homo sapiens (Human),221,"TRANSMEM 4..24; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 35..55; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 65..85; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 93..110; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 114..134; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 154..174; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 176..196; /note=""Helical""; /evidence=""ECO:0000255"""
A6NI73,reviewed,LIRA5_HUMAN,Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f),LILRA5 ILT11 LILRB7 LIR9,Homo sapiens (Human),299,"TRANSMEM 269..289; /note=""Helical""; /evidence=""ECO:0000255"""
A6NKB5,reviewed,PCX2_HUMAN,Pecanex-like protein 2 (Pecanex homolog protein 2),PCNX2 KIAA0435 PCNXL2,Homo sapiens (Human),2137,"TRANSMEM 34..54; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 57..77; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 844..864; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 868..888; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 901..921; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 952..972; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 983..1003; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1029..1049; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1099..1119; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1124..1144; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1193..1213; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1237..1257; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1265..1285; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1302..1322; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1324..1344; /note=""Helical""; /evidence=""ECO:0000255"""
A6NNB3,reviewed,IFM5_HUMAN,Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1),IFITM5,Homo sapiens (Human),132,"TRANSMEM 37..57; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 87..107; /note=""Helical""; /evidence=""ECO:0000255"""
A6NNN8,reviewed,S38A8_HUMAN,Solute carrier family 38 member 8 (Amino acid transporter SLC38A8),SLC38A8,Homo sapiens (Human),435,"TRANSMEM 29..49; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 55..75; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 100..120; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 151..171; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 178..198; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 218..240; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 250..270; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 295..315; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 348..368; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 374..394; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 410..430; /note=""Helical""; /evidence=""ECO:0000255"""
A8CG34,reviewed,P121C_HUMAN,Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C),POM121C,Homo sapiens (Human),1229,"TRANSMEM 41..61; /note=""Helical""; /evidence=""ECO:0000255"""
A8K4G0,reviewed,CLM7_HUMAN,CMRF35-like molecule 7 (CLM-7) (CD300 antigen-like family member B) (CMRF35-A2) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Leukocyte mono-Ig-like receptor 5) (Triggering receptor expressed on myeloid cells 5) (TREM-5) (CD antigen CD300b),CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029,Homo sapiens (Human),201,"TRANSMEM 152..172; /note=""Helical""; /evidence=""ECO:0000255"""
A8MPY1,reviewed,GBRR3_HUMAN,Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABAAR subunit rho-3) (GABA(C) receptor),GABRR3,Homo sapiens (Human),467,"TRANSMEM 267..287; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 300..320; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 332..352; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 447..467; /note=""Helical""; /evidence=""ECO:0000255"""
A8MVW5,reviewed,HECA2_HUMAN,HEPACAM family member 2 (Mitotic kinetics regulator),HEPACAM2 MIKI UNQ305/PRO346,Homo sapiens (Human),462,"TRANSMEM 352..372; /note=""Helical""; /evidence=""ECO:0000255"""
A8MYU2,reviewed,KCNU1_HUMAN,"Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)",KCNU1 KCNMA3 KCNMC1 SLO3,Homo sapiens (Human),1149,"TRANSMEM 25..45; /note=""Helical; Name=Segment S0""; /evidence=""ECO:0000255""; TRANSMEM 102..122; /note=""Helical; Name=Segment S1""; /evidence=""ECO:0000255""; TRANSMEM 139..159; /note=""Helical; Name=Segment S2""; /evidence=""ECO:0000255""; TRANSMEM 164..184; /note=""Helical; Name=Segment S3""; /evidence=""ECO:0000255""; TRANSMEM 189..209; /note=""Helical; Voltage-sensor; Name=Segment S4""; /evidence=""ECO:0000255""; TRANSMEM 227..247; /note=""Helical; Name=Segment S5""; /evidence=""ECO:0000255""; TRANSMEM 292..312; /note=""Helical; Name=Segment S6""; /evidence=""ECO:0000255"""
B0L3A2,reviewed,DESPR_HUMAN,Dual endothelin-1/VEGF signal peptide receptor (DEspR protein) (Dual endothelin-1/VEGFsp receptor) (FBXW7 antisense RNA 1),FBXW7-AS1 DEAR DEspR,Homo sapiens (Human),85,"TRANSMEM 19..37; /note=""Helical""; /evidence=""ECO:0000255"""
B0YJ81,reviewed,HACD1_HUMAN,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A),HACD1 PTPLA,Homo sapiens (Human),288,"TRANSMEM 76..95; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 115..131; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 142..159; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 166..180; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 204..221; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 252..269; /note=""Helical""; /evidence=""ECO:0000255"""
B1AL88,reviewed,NALF1_HUMAN,NALCN channel auxiliary factor 1 (Transmembrane protein FAM155A),NALF1 FAM155A NLF-1,Homo sapiens (Human),458,"TRANSMEM 40..60; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 417..437; /note=""Helical""; /evidence=""ECO:0000255"""
B2RTY4,reviewed,MYO9A_HUMAN,Unconventional myosin-IXa (Unconventional myosin-9a),MYO9A MYR7,Homo sapiens (Human),2548,"TRANSMEM 175..195; /note=""Helical""; /evidence=""ECO:0000255"""
B2RUZ4,reviewed,SMIM1_HUMAN,Small integral membrane protein 1 (Vel blood group antigen),SMIM1,Homo sapiens (Human),78,"TRANSMEM 47..67; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
B6A8C7,reviewed,TARM1_HUMAN,"T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)",TARM1,Homo sapiens (Human),271,"TRANSMEM 237..257; /note=""Helical""; /evidence=""ECO:0000255"""
B7U540,reviewed,KCJ18_HUMAN,"Inward rectifier potassium channel 18 (Inward rectifier K(+) channel Kir2.6) (Potassium channel, inwardly rectifying subfamily J member 18)",KCNJ18,Homo sapiens (Human),433,"TRANSMEM 85..105; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 157..177; /note=""Helical""; /evidence=""ECO:0000255"""
B7ZAQ6,reviewed,GPHRA_HUMAN,Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90),GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218,Homo sapiens (Human),455,"TRANSMEM 5..25; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 46..66; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 79..99; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 114..134; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 150..170; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 290..310; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 343..363; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 378..398; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 425..445; /note=""Helical""; /evidence=""ECO:0000255"""
D3W0D1,reviewed,KLRF2_HUMAN,Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65),KLRF2,Homo sapiens (Human),207,"TRANSMEM 31..51; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
E0CX11,reviewed,STMP1_HUMAN,Short transmembrane mitochondrial protein 1,STMP1 C7orf73,Homo sapiens (Human),47,"TRANSMEM 7..23; /note=""Helical""; /evidence=""ECO:0000255"""
F5H094,reviewed,SO1BT_HUMAN,SLCO1B3-SLCO1B7 readthrough transcript protein (Liver specific transporter-3 transmembrane 12) (LST-3TM12) (Organic anion transporting polypeptide 1B3-1B7) (OATP1B3-1B7) (Solute carrier organic anion transporter family member 1B3-1B7) (SLCO1B3-SLCO1B7),SLCO1B3-SLCO1B7,Homo sapiens (Human),687,"TRANSMEM 30..50; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 64..84; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 97..117; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 171..191; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 207..227; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 259..279; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 340..360; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 377..397; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 410..430; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 540..560; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 569..589; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 625..645; /note=""Helical""; /evidence=""ECO:0000255"""
H0YL14,reviewed,TM250_HUMAN,Transmembrane protein 250 (Herpes virus UL25-binding protein),TMEM250 C9orf69,Homo sapiens (Human),139,"TRANSMEM 56..76; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 116..136; /note=""Helical""; /evidence=""ECO:0000255"""
H3BV60,reviewed,TGR3L_HUMAN,Transforming growth factor-beta receptor type 3-like protein (TGF-beta receptor type-3-like protein) (TGFR-3L) (Transforming growth factor-beta receptor type III-like protein) (TGF-beta receptor type III-like protein),TGFBR3L,Homo sapiens (Human),292,"TRANSMEM 245..265; /note=""Helical""; /evidence=""ECO:0000255"""
K7EJ46,reviewed,SIM22_HUMAN,Small integral membrane protein 22 (Cancer-associated small integral membrane open reading frame 1),SMIM22 CASIMO1,Homo sapiens (Human),83,"TRANSMEM 32..52; /note=""Helical""; /evidence=""ECO:0000255"""
O00124,reviewed,UBXN8_HUMAN,UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6),UBXN8 D8S2298E REP8 UBXD6,Homo sapiens (Human),270,"TRANSMEM 2..22; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 34..54; /note=""Helical""; /evidence=""ECO:0000255"""
O00144,reviewed,FZD9_HUMAN,Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349),FZD9 FZD3,Homo sapiens (Human),591,"TRANSMEM 230..250; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 267..287; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 316..336; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 356..376; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 401..421; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 448..468; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 509..529; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
O00155,reviewed,GPR25_HUMAN,Probable G-protein coupled receptor 25,GPR25,Homo sapiens (Human),361,"TRANSMEM 40..60; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 76..96; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 127..147; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 156..176; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 201..220; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 243..263; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 290..310; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
