File,Protein_Accession,Protein_Name,Gene,Organism,Protein_Length,Protein_Mass_(Da),Number_Site,Number_Glycan,Number_Site_Specific_Glycan
IDGlycoSPQC_04_MA10140C_6010_011423,P02790,Hemopexin,HPX,Homo sapiens,462,51643.2706,3,27,40
IDGlycoSPQC_04_MA10140C_6010_011423,P03952,Plasma kallikrein,KLKB1,Homo sapiens,638,71295.8286,5,8,15
IDGlycoSPQC_04_MA10140C_6010_011423,P04003,C4b-binding protein alpha chain,C4BPA,Homo sapiens,597,66989.394,1,2,2
IDGlycoSPQC_04_MA10140C_6010_011423,P04004,Vitronectin,VTN,Homo sapiens,478,54271.1652,3,19,22
IDGlycoSPQC_04_MA10140C_6010_011423,P04114,Apolipoprotein B-100,APOB,Homo sapiens,4563,515222.8323,10,14,32
IDGlycoSPQC_04_MA10140C_6010_011423,P04180,Phosphatidylcholine-sterol acyltransferase,LCAT,Homo sapiens,440,49546.0861,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,P04196,Histidine-rich glycoprotein,HRG,Homo sapiens,525,59540.8649,1,3,3
IDGlycoSPQC_04_MA10140C_6010_011423,P04217,Alpha-1B-glycoprotein,A1BG,Homo sapiens,495,54219.5369,1,5,5
IDGlycoSPQC_04_MA10140C_6010_011423,P05090,Apolipoprotein D,APOD,Homo sapiens,189,21261.7619,3,32,40
IDGlycoSPQC_04_MA10140C_6010_011423,P05154,Plasma serine protease inhibitor,SERPINA5,Homo sapiens,406,45645.6871,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,P05155,Plasma protease C1 inhibitor,SERPING1,Homo sapiens,500,55119.3913,8,32,77
IDGlycoSPQC_04_MA10140C_6010_011423,P05156,Complement factor I,CFI,Homo sapiens,583,65706.6048,4,3,5
IDGlycoSPQC_04_MA10140C_6010_011423,P05160,Coagulation factor XIII B chain,F13B,Homo sapiens,661,75461.1628,2,3,4
IDGlycoSPQC_04_MA10140C_6010_011423,P05543,Thyroxine-binding globulin,SERPINA7,Homo sapiens,415,46294.6053,1,3,3
IDGlycoSPQC_04_MA10140C_6010_011423,P05546,Heparin cofactor 2,SERPIND1,Homo sapiens,499,57034.2012,1,5,5
IDGlycoSPQC_04_MA10140C_6010_011423,P06681,Complement C2,C2,Homo sapiens,752,83214.3093,1,4,4
IDGlycoSPQC_04_MA10140C_6010_011423,P07996,Thrombospondin-1,THBS1,Homo sapiens,1170,129299.5492,1,2,2
IDGlycoSPQC_04_MA10140C_6010_011423,P08185,Corticosteroid-binding globulin,SERPINA6,Homo sapiens,405,45111.9052,2,8,10
IDGlycoSPQC_04_MA10140C_6010_011423,P08603,Complement factor H,CFH,Homo sapiens,1231,139004.6917,7,14,27
IDGlycoSPQC_04_MA10140C_6010_011423,P09871,Complement C1s subcomponent,C1S,Homo sapiens,688,76634.7981,1,2,2
IDGlycoSPQC_04_MA10140C_6010_011423,P0C0L4,Complement C4-A,C4A,Homo sapiens,1744,192664.4617,3,12,14
IDGlycoSPQC_04_MA10140C_6010_011423,P0C0L5,Complement C4-B,C4B,Homo sapiens,1744,192630.5329,3,12,14
IDGlycoSPQC_04_MA10140C_6010_011423,P10909,Clusterin,CLU,Homo sapiens,449,52461.0034,5,12,23
IDGlycoSPQC_04_MA10140C_6010_011423,P11166,"Solute carrier family 2, facilitated glucose transporter member 1",SLC2A1,Homo sapiens,492,54048.5332,1,2,2
IDGlycoSPQC_04_MA10140C_6010_011423,P13671,Complement component C6,C6,Homo sapiens,934,104717.9999,2,3,4
IDGlycoSPQC_04_MA10140C_6010_011423,P16671,Platelet glycoprotein 4,CD36,Homo sapiens,472,53019.2542,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,P17936,Insulin-like growth factor-binding protein 3,IGFBP3,Homo sapiens,291,31653.7412,1,2,2
IDGlycoSPQC_04_MA10140C_6010_011423,P19652,Alpha-1-acid glycoprotein 2,ORM2,Homo sapiens,201,23587.6306,5,35,53
IDGlycoSPQC_04_MA10140C_6010_011423,P19823,Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2,Homo sapiens,946,106396.6043,1,3,3
IDGlycoSPQC_04_MA10140C_6010_011423,P19827,Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1,Homo sapiens,911,101325.6101,2,3,4
IDGlycoSPQC_04_MA10140C_6010_011423,P20851,C4b-binding protein beta chain,C4BPB,Homo sapiens,252,28338.4415,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,P22792,Carboxypeptidase N subunit 2,CPN2,Homo sapiens,545,60518.1265,1,2,2
IDGlycoSPQC_04_MA10140C_6010_011423,P25311,Zinc-alpha-2-glycoprotein,AZGP1,Homo sapiens,298,34237.1031,3,6,11
IDGlycoSPQC_04_MA10140C_6010_011423,P27169,Serum paraoxonase/arylesterase 1,PON1,Homo sapiens,355,39706.2263,2,8,9
IDGlycoSPQC_04_MA10140C_6010_011423,P29622,Kallistatin,SERPINA4,Homo sapiens,427,48511.1559,2,3,3
IDGlycoSPQC_04_MA10140C_6010_011423,P35858,Insulin-like growth factor-binding protein complex acid labile subunit,IGFALS,Homo sapiens,605,65993.793,2,2,4
IDGlycoSPQC_04_MA10140C_6010_011423,P36980,Complement factor H-related protein 2,CFHR2,Homo sapiens,270,30630.6326,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,P43652,Afamin,AFM,Homo sapiens,599,69024.0102,1,3,3
IDGlycoSPQC_04_MA10140C_6010_011423,P49747,Cartilage oligomeric matrix protein,COMP,Homo sapiens,757,82807.6125,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,P51884,Lumican,LUM,Homo sapiens,338,38404.7928,1,5,5
IDGlycoSPQC_04_MA10140C_6010_011423,P55058,Phospholipid transfer protein,PLTP,Homo sapiens,493,54704.5403,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,Q03591,Complement factor H-related protein 1,CFHR1,Homo sapiens,330,37625.9619,3,4,8
IDGlycoSPQC_04_MA10140C_6010_011423,Q06033,Inter-alpha-trypsin inhibitor heavy chain H3,ITIH3,Homo sapiens,890,99786.5286,1,3,3
IDGlycoSPQC_04_MA10140C_6010_011423,Q08722,Leukocyte surface antigen CD47,CD47,Homo sapiens,323,35190.7399,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4,ITIH4,Homo sapiens,930,103292.98,2,10,10
IDGlycoSPQC_04_MA10140C_6010_011423,Q96PD5,N-acetylmuramoyl-L-alanine amidase,PGLYRP2,Homo sapiens,576,62177.8802,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,Q9NZP8,Complement C1r subcomponent-like protein,C1RL,Homo sapiens,487,53464.3419,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,Q9UGM5,Fetuin-B,FETUB,Homo sapiens,382,42027.9612,1,1,1
IDGlycoSPQC_05_MA10140C_6010_011423,O95445,Apolipoprotein M,APOM,Homo sapiens,188,21239.4384,1,5,5
IDGlycoSPQC_05_MA10140C_6010_011423,P00450,Ceruloplasmin,CP,Homo sapiens,1065,122141.5986,4,16,24
IDGlycoSPQC_05_MA10140C_6010_011423,P00734,Prothrombin,F2,Homo sapiens,622,69992.1207,2,3,5
IDGlycoSPQC_05_MA10140C_6010_011423,P00736,Complement C1r subcomponent,C1R,Homo sapiens,705,80066.8106,1,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P00738,Haptoglobin,HP,Homo sapiens,406,45176.5624,4,48,69
IDGlycoSPQC_05_MA10140C_6010_011423,P00739,Haptoglobin-related protein,HPR,Homo sapiens,348,39004.6778,3,37,39
IDGlycoSPQC_05_MA10140C_6010_011423,P00748,Coagulation factor XII,F12,Homo sapiens,615,67747.8913,1,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P00751,Complement factor B,CFB,Homo sapiens,764,85478.5204,3,7,9
IDGlycoSPQC_05_MA10140C_6010_011423,P00760,Cationic trypsin,null,Bos taurus,246,25768.6012,2,13,14
IDGlycoSPQC_05_MA10140C_6010_011423,P01008,Antithrombin-III,SERPINC1,Homo sapiens,464,52568.8618,3,12,16
IDGlycoSPQC_05_MA10140C_6010_011423,P01009,Alpha-1-antitrypsin,SERPINA1,Homo sapiens,418,46707.0172,4,15,22
IDGlycoSPQC_05_MA10140C_6010_011423,P01011,Alpha-1-antichymotrypsin,SERPINA3,Homo sapiens,423,47620.5342,3,16,21
IDGlycoSPQC_05_MA10140C_6010_011423,P01019,Angiotensinogen,AGT,Homo sapiens,476,52036.9515,1,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P01023,Alpha-2-macroglobulin,A2M,Homo sapiens,1474,163187.8838,3,15,18
IDGlycoSPQC_05_MA10140C_6010_011423,P01024,Complement C3,C3,Homo sapiens,1663,187029.8664,2,7,7
IDGlycoSPQC_05_MA10140C_6010_011423,P01042,Kininogen-1,KNG1,Homo sapiens,644,71912.1475,5,14,25
IDGlycoSPQC_05_MA10140C_6010_011423,P01591,Immunoglobulin J chain,JCHAIN,Homo sapiens,159,18086.9938,1,9,9
IDGlycoSPQC_05_MA10140C_6010_011423,P01857,Immunoglobulin heavy constant gamma 1,IGHG1,Homo sapiens,399,43884.1027,1,36,36
IDGlycoSPQC_05_MA10140C_6010_011423,P01859,Immunoglobulin heavy constant gamma 2,IGHG2,Homo sapiens,395,43777.7715,1,34,34
IDGlycoSPQC_05_MA10140C_6010_011423,P01861,Immunoglobulin heavy constant gamma 4,IGHG4,Homo sapiens,396,43803.8656,1,13,13
IDGlycoSPQC_05_MA10140C_6010_011423,P01871,Immunoglobulin heavy constant mu,IGHM,Homo sapiens,474,51890.9321,2,33,40
IDGlycoSPQC_05_MA10140C_6010_011423,P01876,Immunoglobulin heavy constant alpha 1,IGHA1,Homo sapiens,398,42821.3175,1,5,5
IDGlycoSPQC_05_MA10140C_6010_011423,P01877,Immunoglobulin heavy constant alpha 2,IGHA2,Homo sapiens,391,42306.9526,3,14,15
IDGlycoSPQC_05_MA10140C_6010_011423,P02675,Fibrinogen beta chain,FGB,Homo sapiens,491,55892.2582,1,17,17
IDGlycoSPQC_05_MA10140C_6010_011423,P02679,Fibrinogen gamma chain,FGG,Homo sapiens,453,51478.8645,1,10,10
IDGlycoSPQC_05_MA10140C_6010_011423,P02730,Band 3 anion transport protein,SLC4A1,Homo sapiens,911,101727.4074,1,6,6
IDGlycoSPQC_05_MA10140C_6010_011423,P02745,Complement C1q subcomponent subunit A,C1QA,Homo sapiens,245,26000.1863,1,4,4
IDGlycoSPQC_05_MA10140C_6010_011423,P02748,Complement component C9,C9,Homo sapiens,559,63132.6961,1,1,1
IDGlycoSPQC_05_MA10140C_6010_011423,P02749,Beta-2-glycoprotein 1,APOH,Homo sapiens,345,38272.6576,2,11,15
IDGlycoSPQC_05_MA10140C_6010_011423,P02751,Fibronectin,FN1,Homo sapiens,2477,272149.9816,3,7,10
IDGlycoSPQC_05_MA10140C_6010_011423,P02760,Protein AMBP,AMBP,Homo sapiens,352,38973.9795,2,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P02763,Alpha-1-acid glycoprotein 1,ORM1,Homo sapiens,201,23524.8008,5,42,73
IDGlycoSPQC_05_MA10140C_6010_011423,P02765,Alpha-2-HS-glycoprotein,AHSG,Homo sapiens,367,39315.6856,2,19,27
IDGlycoSPQC_05_MA10140C_6010_011423,P02768,Albumin,ALB,Homo sapiens,609,69321.4924,1,2,2
IDGlycoSPQC_05_MA10140C_6010_011423,P02787,Serotransferrin,TF,Homo sapiens,698,76999.6107,3,18,31
IDGlycoSPQC_05_MA10140C_6010_011423,P02790,Hemopexin,HPX,Homo sapiens,462,51643.2706,3,19,31
IDGlycoSPQC_05_MA10140C_6010_011423,P03952,Plasma kallikrein,KLKB1,Homo sapiens,638,71295.8286,4,6,10
IDGlycoSPQC_05_MA10140C_6010_011423,P04003,C4b-binding protein alpha chain,C4BPA,Homo sapiens,597,66989.394,1,1,1
IDGlycoSPQC_05_MA10140C_6010_011423,P04004,Vitronectin,VTN,Homo sapiens,478,54271.1652,3,24,29
IDGlycoSPQC_05_MA10140C_6010_011423,P04114,Apolipoprotein B-100,APOB,Homo sapiens,4563,515222.8323,8,9,21
IDGlycoSPQC_05_MA10140C_6010_011423,P04180,Phosphatidylcholine-sterol acyltransferase,LCAT,Homo sapiens,440,49546.0861,1,1,1
IDGlycoSPQC_05_MA10140C_6010_011423,P04196,Histidine-rich glycoprotein,HRG,Homo sapiens,525,59540.8649,1,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P04217,Alpha-1B-glycoprotein,A1BG,Homo sapiens,495,54219.5369,1,4,4
IDGlycoSPQC_05_MA10140C_6010_011423,P05090,Apolipoprotein D,APOD,Homo sapiens,189,21261.7619,3,31,42
IDGlycoSPQC_05_MA10140C_6010_011423,P05154,Plasma serine protease inhibitor,SERPINA5,Homo sapiens,406,45645.6871,1,2,2
IDGlycoSPQC_05_MA10140C_6010_011423,P05155,Plasma protease C1 inhibitor,SERPING1,Homo sapiens,500,55119.3913,8,29,84
IDGlycoSPQC_05_MA10140C_6010_011423,P05156,Complement factor I,CFI,Homo sapiens,583,65706.6048,3,4,7
IDGlycoSPQC_05_MA10140C_6010_011423,P05160,Coagulation factor XIII B chain,F13B,Homo sapiens,661,75461.1628,2,4,4
IDGlycoSPQC_05_MA10140C_6010_011423,P05543,Thyroxine-binding globulin,SERPINA7,Homo sapiens,415,46294.6053,1,2,2
IDGlycoSPQC_05_MA10140C_6010_011423,P05546,Heparin cofactor 2,SERPIND1,Homo sapiens,499,57034.2012,1,8,8
IDGlycoSPQC_05_MA10140C_6010_011423,P06681,Complement C2,C2,Homo sapiens,752,83214.3093,2,5,5
IDGlycoSPQC_05_MA10140C_6010_011423,P07357,Complement component C8 alpha chain,C8A,Homo sapiens,584,65121.0325,1,1,1
IDGlycoSPQC_05_MA10140C_6010_011423,P07996,Thrombospondin-1,THBS1,Homo sapiens,1170,129299.5492,1,4,4
IDGlycoSPQC_05_MA10140C_6010_011423,P08185,Corticosteroid-binding globulin,SERPINA6,Homo sapiens,405,45111.9052,3,10,13
IDGlycoSPQC_05_MA10140C_6010_011423,P08603,Complement factor H,CFH,Homo sapiens,1231,139004.6917,6,10,22
IDGlycoSPQC_05_MA10140C_6010_011423,P09871,Complement C1s subcomponent,C1S,Homo sapiens,688,76634.7981,1,1,1
IDGlycoSPQC_05_MA10140C_6010_011423,P0C0L4,Complement C4-A,C4A,Homo sapiens,1744,192664.4617,3,15,16
IDGlycoSPQC_05_MA10140C_6010_011423,P0C0L5,Complement C4-B,C4B,Homo sapiens,1744,192630.5329,3,15,16
IDGlycoSPQC_05_MA10140C_6010_011423,P10909,Clusterin,CLU,Homo sapiens,449,52461.0034,5,17,28
IDGlycoSPQC_05_MA10140C_6010_011423,P13671,Complement component C6,C6,Homo sapiens,934,104717.9999,2,3,5
IDGlycoSPQC_05_MA10140C_6010_011423,P19652,Alpha-1-acid glycoprotein 2,ORM2,Homo sapiens,201,23587.6306,6,40,60
IDGlycoSPQC_05_MA10140C_6010_011423,P19823,Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2,Homo sapiens,946,106396.6043,1,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P19827,Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1,Homo sapiens,911,101325.6101,1,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P20851,C4b-binding protein beta chain,C4BPB,Homo sapiens,252,28338.4415,2,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P25311,Zinc-alpha-2-glycoprotein,AZGP1,Homo sapiens,298,34237.1031,3,9,14
IDGlycoSPQC_05_MA10140C_6010_011423,P26927,Hepatocyte growth factor-like protein,MST1,Homo sapiens,711,80267.5216,1,1,1
IDGlycoSPQC_05_MA10140C_6010_011423,P27169,Serum paraoxonase/arylesterase 1,PON1,Homo sapiens,355,39706.2263,2,7,8
IDGlycoSPQC_05_MA10140C_6010_011423,P29622,Kallistatin,SERPINA4,Homo sapiens,427,48511.1559,2,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P35858,Insulin-like growth factor-binding protein complex acid labile subunit,IGFALS,Homo sapiens,605,65993.793,2,1,2
IDGlycoSPQC_05_MA10140C_6010_011423,P36980,Complement factor H-related protein 2,CFHR2,Homo sapiens,270,30630.6326,1,2,2
IDGlycoSPQC_05_MA10140C_6010_011423,P43251,Biotinidase,BTD,Homo sapiens,543,61093.2556,1,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P43308,Translocon-associated protein subunit beta,SSR2,Homo sapiens,183,20122.4846,1,1,1
IDGlycoSPQC_05_MA10140C_6010_011423,P43652,Afamin,AFM,Homo sapiens,599,69024.0102,2,3,5
IDGlycoSPQC_05_MA10140C_6010_011423,P51884,Lumican,LUM,Homo sapiens,338,38404.7928,1,3,3
IDGlycoSPQC_05_MA10140C_6010_011423,P80108,Phosphatidylinositol-glycan-specific phospholipase D,GPLD1,Homo sapiens,840,92277.9566,1,1,1
IDGlycoSPQC_05_MA10140C_6010_011423,Q03591,Complement factor H-related protein 1,CFHR1,Homo sapiens,330,37625.9619,3,3,6
IDGlycoSPQC_05_MA10140C_6010_011423,Q06033,Inter-alpha-trypsin inhibitor heavy chain H3,ITIH3,Homo sapiens,890,99786.5286,2,4,5
IDGlycoSPQC_05_MA10140C_6010_011423,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4,ITIH4,Homo sapiens,930,103292.98,1,12,12
IDGlycoSPQC_05_MA10140C_6010_011423,Q2TV78,Putative macrophage stimulating 1-like protein,MST1L,Homo sapiens,715,79642.2316,1,1,1
IDGlycoSPQC_05_MA10140C_6010_011423,Q96PD5,N-acetylmuramoyl-L-alanine amidase,PGLYRP2,Homo sapiens,576,62177.8802,1,2,2
IDGlycoSPQC_05_MA10140C_6010_011423,Q9NZP8,Complement C1r subcomponent-like protein,C1RL,Homo sapiens,487,53464.3419,2,1,2
IDGlycoSPQC_05_MA10140C_6010_011423,Q9UGM5,Fetuin-B,FETUB,Homo sapiens,382,42027.9612,1,2,2
IDGlycoSPQC_06_MA10140C_6010_011423,O75592,E3 ubiquitin-protein ligase MYCBP2,MYCBP2,Homo sapiens,4678,513308.6572,1,1,1
IDGlycoSPQC_06_MA10140C_6010_011423,P00450,Ceruloplasmin,CP,Homo sapiens,1065,122141.5986,4,12,19
IDGlycoSPQC_06_MA10140C_6010_011423,P00734,Prothrombin,F2,Homo sapiens,622,69992.1207,3,7,9
IDGlycoSPQC_06_MA10140C_6010_011423,P00738,Haptoglobin,HP,Homo sapiens,406,45176.5624,4,39,54
IDGlycoSPQC_06_MA10140C_6010_011423,P00739,Haptoglobin-related protein,HPR,Homo sapiens,348,39004.6778,3,28,32
IDGlycoSPQC_06_MA10140C_6010_011423,P00748,Coagulation factor XII,F12,Homo sapiens,615,67747.8913,2,4,6
IDGlycoSPQC_06_MA10140C_6010_011423,P00751,Complement factor B,CFB,Homo sapiens,764,85478.5204,3,6,9
IDGlycoSPQC_06_MA10140C_6010_011423,P00760,Cationic trypsin,null,Bos taurus,246,25768.6012,2,21,26
IDGlycoSPQC_06_MA10140C_6010_011423,P01008,Antithrombin-III,SERPINC1,Homo sapiens,464,52568.8618,3,10,14
IDGlycoSPQC_06_MA10140C_6010_011423,P01009,Alpha-1-antitrypsin,SERPINA1,Homo sapiens,418,46707.0172,3,10,15
IDGlycoSPQC_06_MA10140C_6010_011423,P01011,Alpha-1-antichymotrypsin,SERPINA3,Homo sapiens,423,47620.5342,3,13,16
IDGlycoSPQC_06_MA10140C_6010_011423,P01019,Angiotensinogen,AGT,Homo sapiens,476,52036.9515,1,1,1
IDGlycoSPQC_06_MA10140C_6010_011423,P01023,Alpha-2-macroglobulin,A2M,Homo sapiens,1474,163187.8838,3,15,18
IDGlycoSPQC_06_MA10140C_6010_011423,P01024,Complement C3,C3,Homo sapiens,1663,187029.8664,1,5,5
IDGlycoSPQC_06_MA10140C_6010_011423,P01042,Kininogen-1,KNG1,Homo sapiens,644,71912.1475,3,14,22
IDGlycoSPQC_06_MA10140C_6010_011423,P01591,Immunoglobulin J chain,JCHAIN,Homo sapiens,159,18086.9938,1,10,10
IDGlycoSPQC_06_MA10140C_6010_011423,P01857,Immunoglobulin heavy constant gamma 1,IGHG1,Homo sapiens,399,43884.1027,1,30,30
IDGlycoSPQC_06_MA10140C_6010_011423,P01859,Immunoglobulin heavy constant gamma 2,IGHG2,Homo sapiens,395,43777.7715,1,31,31
IDGlycoSPQC_06_MA10140C_6010_011423,P01861,Immunoglobulin heavy constant gamma 4,IGHG4,Homo sapiens,396,43803.8656,1,17,17
IDGlycoSPQC_06_MA10140C_6010_011423,P01871,Immunoglobulin heavy constant mu,IGHM,Homo sapiens,474,51890.9321,2,36,46
IDGlycoSPQC_06_MA10140C_6010_011423,P01876,Immunoglobulin heavy constant alpha 1,IGHA1,Homo sapiens,398,42821.3175,1,4,4
IDGlycoSPQC_06_MA10140C_6010_011423,P01877,Immunoglobulin heavy constant alpha 2,IGHA2,Homo sapiens,391,42306.9526,3,10,12
IDGlycoSPQC_06_MA10140C_6010_011423,P01880,Immunoglobulin heavy constant delta,IGHD,Homo sapiens,430,47470.0363,1,1,1
IDGlycoSPQC_06_MA10140C_6010_011423,P02675,Fibrinogen beta chain,FGB,Homo sapiens,491,55892.2582,1,17,17
IDGlycoSPQC_06_MA10140C_6010_011423,P02679,Fibrinogen gamma chain,FGG,Homo sapiens,453,51478.8645,1,6,6
IDGlycoSPQC_06_MA10140C_6010_011423,P02730,Band 3 anion transport protein,SLC4A1,Homo sapiens,911,101727.4074,1,4,4
IDGlycoSPQC_06_MA10140C_6010_011423,P02745,Complement C1q subcomponent subunit A,C1QA,Homo sapiens,245,26000.1863,1,3,3
IDGlycoSPQC_06_MA10140C_6010_011423,P02748,Complement component C9,C9,Homo sapiens,559,63132.6961,2,2,3
IDGlycoSPQC_06_MA10140C_6010_011423,P02749,Beta-2-glycoprotein 1,APOH,Homo sapiens,345,38272.6576,2,22,25
IDGlycoSPQC_06_MA10140C_6010_011423,P02751,Fibronectin,FN1,Homo sapiens,2477,272149.9816,2,5,7
IDGlycoSPQC_06_MA10140C_6010_011423,P02760,Protein AMBP,AMBP,Homo sapiens,352,38973.9795,1,2,2
IDGlycoSPQC_06_MA10140C_6010_011423,P02763,Alpha-1-acid glycoprotein 1,ORM1,Homo sapiens,201,23524.8008,5,39,63
IDGlycoSPQC_06_MA10140C_6010_011423,P02765,Alpha-2-HS-glycoprotein,AHSG,Homo sapiens,367,39315.6856,2,20,29
IDGlycoSPQC_06_MA10140C_6010_011423,P02768,Albumin,ALB,Homo sapiens,609,69321.4924,1,3,3
IDGlycoSPQC_06_MA10140C_6010_011423,P02787,Serotransferrin,TF,Homo sapiens,698,76999.6107,4,17,33
IDGlycoSPQC_06_MA10140C_6010_011423,P02790,Hemopexin,HPX,Homo sapiens,462,51643.2706,3,21,31
