File,Protein_Accession,Protein_Name,Gene,Organism,Protein_Length,Protein_Mass_(Da),Number_Site,Number_Glycan,Number_Site_Specific_Glycan
ID112496_Pool02_MA10140C_6010_031524,P04278,Sex hormone-binding globulin,SHBG,Homo sapiens,402,43751.8134,2,3,4
ID112496_Pool02_MA10140C_6010_031524,P05090,Apolipoprotein D,APOD,Homo sapiens,189,21261.7619,3,42,51
ID112496_Pool02_MA10140C_6010_031524,P05155,Plasma protease C1 inhibitor,SERPING1,Homo sapiens,500,55119.3913,8,51,137
ID112496_Pool02_MA10140C_6010_031524,P05156,Complement factor I,CFI,Homo sapiens,583,65706.6048,4,8,11
ID112496_Pool02_MA10140C_6010_031524,P05160,Coagulation factor XIII B chain,F13B,Homo sapiens,661,75461.1628,2,6,7
ID112496_Pool02_MA10140C_6010_031524,P05543,Thyroxine-binding globulin,SERPINA7,Homo sapiens,415,46294.6053,1,5,5
ID112496_Pool02_MA10140C_6010_031524,P05546,Heparin cofactor 2,SERPIND1,Homo sapiens,499,57034.2012,1,5,5
ID112496_Pool02_MA10140C_6010_031524,P06276,Cholinesterase,BCHE,Homo sapiens,602,68374.267,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P07357,Complement component C8 alpha chain,C8A,Homo sapiens,584,65121.0325,1,3,3
ID112496_Pool02_MA10140C_6010_031524,P07996,Thrombospondin-1,THBS1,Homo sapiens,1170,129299.5492,2,7,8
ID112496_Pool02_MA10140C_6010_031524,P08185,Corticosteroid-binding globulin,SERPINA6,Homo sapiens,405,45111.9052,3,11,14
ID112496_Pool02_MA10140C_6010_031524,P08571,Monocyte differentiation antigen CD14,CD14,Homo sapiens,375,40050.7432,1,1,1
ID112496_Pool02_MA10140C_6010_031524,P08603,Complement factor H,CFH,Homo sapiens,1231,139004.6917,9,20,49
ID112496_Pool02_MA10140C_6010_031524,P09172,Dopamine beta-hydroxylase,DBH,Homo sapiens,617,69020.6586,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P09871,Complement C1s subcomponent,C1S,Homo sapiens,688,76634.7981,1,3,3
ID112496_Pool02_MA10140C_6010_031524,P0C0L4,Complement C4-A,C4A,Homo sapiens,1744,192664.4617,3,18,22
ID112496_Pool02_MA10140C_6010_031524,P0C0L5,Complement C4-B,C4B,Homo sapiens,1744,192630.5329,3,18,22
ID112496_Pool02_MA10140C_6010_031524,P0DP01,Immunoglobulin heavy variable 1-8,IGHV1-8,Homo sapiens,117,12983.286,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P0DP04,Immunoglobulin heavy variable 3-43D,IGHV3-43D,Homo sapiens,118,13008.3785,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P10909,Clusterin,CLU,Homo sapiens,449,52461.0034,5,22,36
ID112496_Pool02_MA10140C_6010_031524,P11166,"Solute carrier family 2, facilitated glucose transporter member 1",SLC2A1,Homo sapiens,492,54048.5332,1,18,18
ID112496_Pool02_MA10140C_6010_031524,P12259,Coagulation factor V,F5,Homo sapiens,2224,251545.5044,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P13473,Lysosome-associated membrane glycoprotein 2,LAMP2,Homo sapiens,410,44932.2988,1,1,1
ID112496_Pool02_MA10140C_6010_031524,P13671,Complement component C6,C6,Homo sapiens,934,104717.9999,1,1,1
ID112496_Pool02_MA10140C_6010_031524,P13987,CD59 glycoprotein,CD59,Homo sapiens,128,14167.7923,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P17936,Insulin-like growth factor-binding protein 3,IGFBP3,Homo sapiens,291,31653.7412,2,2,3
ID112496_Pool02_MA10140C_6010_031524,P19652,Alpha-1-acid glycoprotein 2,ORM2,Homo sapiens,201,23587.6306,5,57,96
ID112496_Pool02_MA10140C_6010_031524,P19823,Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2,Homo sapiens,946,106396.6043,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P20851,C4b-binding protein beta chain,C4BPB,Homo sapiens,252,28338.4415,3,4,6
ID112496_Pool02_MA10140C_6010_031524,P22792,Carboxypeptidase N subunit 2,CPN2,Homo sapiens,545,60518.1265,1,4,4
ID112496_Pool02_MA10140C_6010_031524,P25311,Zinc-alpha-2-glycoprotein,AZGP1,Homo sapiens,298,34237.1031,3,14,21
ID112496_Pool02_MA10140C_6010_031524,P26927,Hepatocyte growth factor-like protein,MST1,Homo sapiens,711,80267.5216,1,1,1
ID112496_Pool02_MA10140C_6010_031524,P27169,Serum paraoxonase/arylesterase 1,PON1,Homo sapiens,355,39706.2263,1,7,7
ID112496_Pool02_MA10140C_6010_031524,P29622,Kallistatin,SERPINA4,Homo sapiens,427,48511.1559,1,3,3
ID112496_Pool02_MA10140C_6010_031524,P36980,Complement factor H-related protein 2,CFHR2,Homo sapiens,270,30630.6326,1,6,6
ID112496_Pool02_MA10140C_6010_031524,P41222,Prostaglandin-H2 D-isomerase,PTGDS,Homo sapiens,190,21015.3386,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P43251,Biotinidase,BTD,Homo sapiens,543,61093.2556,2,5,6
ID112496_Pool02_MA10140C_6010_031524,P43652,Afamin,AFM,Homo sapiens,599,69024.0102,2,11,13
ID112496_Pool02_MA10140C_6010_031524,P49747,Cartilage oligomeric matrix protein,COMP,Homo sapiens,757,82807.6125,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P49908,Selenoprotein P,SELENOP,Homo sapiens,381,43096.3912,3,6,7
ID112496_Pool02_MA10140C_6010_031524,P51884,Lumican,LUM,Homo sapiens,338,38404.7928,2,14,14
ID112496_Pool02_MA10140C_6010_031524,P55058,Phospholipid transfer protein,PLTP,Homo sapiens,493,54704.5403,1,1,1
ID112496_Pool02_MA10140C_6010_031524,P80108,Phosphatidylinositol-glycan-specific phospholipase D,GPLD1,Homo sapiens,840,92277.9566,1,2,2
ID112496_Pool02_MA10140C_6010_031524,Q03591,Complement factor H-related protein 1,CFHR1,Homo sapiens,330,37625.9619,3,8,13
ID112496_Pool02_MA10140C_6010_031524,Q04756,Hepatocyte growth factor activator,HGFAC,Homo sapiens,655,70636.082,1,1,1
ID112496_Pool02_MA10140C_6010_031524,Q08380,Galectin-3-binding protein,LGALS3BP,Homo sapiens,585,65289.2827,3,4,5
ID112496_Pool02_MA10140C_6010_031524,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4,ITIH4,Homo sapiens,930,103292.98,2,16,16
ID112496_Pool02_MA10140C_6010_031524,Q6ZS49,Putative uncharacterized protein FLJ45831,null,Homo sapiens,121,13052.7499,1,1,1
ID112496_Pool02_MA10140C_6010_031524,Q96KN2,Beta-Ala-His dipeptidase,CNDP1,Homo sapiens,507,56656.1039,1,2,2
ID112496_Pool02_MA10140C_6010_031524,Q96PD5,N-acetylmuramoyl-L-alanine amidase,PGLYRP2,Homo sapiens,576,62177.8802,1,1,1
ID112496_Pool02_MA10140C_6010_031524,Q9BTY2,Plasma alpha-L-fucosidase,FUCA2,Homo sapiens,467,54032.1235,1,1,1
ID112496_Pool02_MA10140C_6010_031524,Q9BXR6,Complement factor H-related protein 5,CFHR5,Homo sapiens,569,64377.0582,2,2,2
ID112496_Pool02_MA10140C_6010_031524,Q9HDC9,Adipocyte plasma membrane-associated protein,APMAP,Homo sapiens,416,46450.848,1,1,1
ID112496_Pool02_MA10140C_6010_031524,Q9UGM5,Fetuin-B,FETUB,Homo sapiens,382,42027.9612,1,1,1
ID112496_Pool03_MA10140C_6010_031524,A0A0B4J1X8,Immunoglobulin heavy variable 3-43,IGHV3-43,Homo sapiens,118,13068.3996,1,2,2
ID112496_Pool03_MA10140C_6010_031524,O00391,Sulfhydryl oxidase 1,QSOX1,Homo sapiens,747,82525.5018,1,1,1
ID112496_Pool03_MA10140C_6010_031524,O75636,Ficolin-3,FCN3,Homo sapiens,299,32881.9881,1,1,1
ID112496_Pool03_MA10140C_6010_031524,O75882,Attractin,ATRN,Homo sapiens,1429,158432.4551,2,2,2
