PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73771_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73772_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[4] ID73775_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[5] ID73776_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[6] ID73777_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[7] ID73778_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[8] ID73779_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[9] ID73780_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[10] ID73781_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[11] ID73784_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[12] ID73785_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[13] ID73786_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[14] ID73787_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[15] ID73788_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[16] ID73789_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[17] ID73790_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[18] ID73793_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[19] ID73794_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[20] ID73795_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[21] ID73796_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[22] ID73797_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[23] ID73798_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[24] ID73799_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[25] ID73802_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[26] ID73803_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[27] ID73804_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[28] ID73805_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[29] ID73806_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[30] ID73806_02_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[31] ID73806_03_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.Quantity,[2] ID73771_01_MA10140C_06010_100422.htrms.PG.Quantity,[3] ID73772_01_MA10140C_06010_100422.htrms.PG.Quantity,[4] ID73775_01_MA10140C_06010_100422.htrms.PG.Quantity,[5] ID73776_01_MA10140C_06010_100422.htrms.PG.Quantity,[6] ID73777_01_MA10140C_06010_100422.htrms.PG.Quantity,[7] ID73778_01_MA10140C_06010_100422.htrms.PG.Quantity,[8] ID73779_01_MA10140C_06010_100422.htrms.PG.Quantity,[9] ID73780_01_MA10140C_06010_100422.htrms.PG.Quantity,[10] ID73781_01_MA10140C_06010_100422.htrms.PG.Quantity,[11] ID73784_01_MA10140C_06010_100422.htrms.PG.Quantity,[12] ID73785_01_MA10140C_06010_100422.htrms.PG.Quantity,[13] ID73786_01_MA10140C_06010_100422.htrms.PG.Quantity,[14] ID73787_01_MA10140C_06010_100422.htrms.PG.Quantity,[15] ID73788_01_MA10140C_06010_100422.htrms.PG.Quantity,[16] ID73789_01_MA10140C_06010_100422.htrms.PG.Quantity,[17] ID73790_01_MA10140C_06010_100422.htrms.PG.Quantity,[18] ID73793_01_MA10140C_06010_100422.htrms.PG.Quantity,[19] ID73794_01_MA10140C_06010_100422.htrms.PG.Quantity,[20] ID73795_01_MA10140C_06010_100422.htrms.PG.Quantity,[21] ID73796_01_MA10140C_06010_100422.htrms.PG.Quantity,[22] ID73797_01_MA10140C_06010_100422.htrms.PG.Quantity,[23] ID73798_01_MA10140C_06010_100422.htrms.PG.Quantity,[24] ID73799_01_MA10140C_06010_100422.htrms.PG.Quantity,[25] ID73802_01_MA10140C_06010_100422.htrms.PG.Quantity,[26] ID73803_01_MA10140C_06010_100422.htrms.PG.Quantity,[27] ID73804_01_MA10140C_06010_100422.htrms.PG.Quantity,[28] ID73805_01_MA10140C_06010_100422.htrms.PG.Quantity,[29] ID73806_01_MA10140C_6010_100422.htrms.PG.Quantity,[30] ID73806_02_MA10140C_6010_100422.htrms.PG.Quantity,[31] ID73806_03_MA10140C_06010_100422.htrms.PG.Quantity
A0A075B6R2,IGHV4-4,Immunoglobulin heavy variable 4-4,A0A075B6R2,HV404_HUMAN,0,0,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,NaN,NaN,NaN,NaN,4839.228515625,2112.703369140625,9673.02734375,5534.455078125,10363.3984375,9764.224609375,10462.5224609375,9346.4697265625,15707.3759765625,12688.1591796875,13446.4931640625,13723.6240234375,14960.9443359375,12137.755859375,17405.087890625,16391.88671875,7852.3173828125,9452.744140625,12347.28515625,11204.14453125,11426.44921875,11405.2724609375,10966.265625,11108.435546875,9857.2138671875,11211.38671875
A0A075B6R9;A0A0C4DH68,IGKV2D-24;IGKV2-24,Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24,A0A075B6R9;A0A0C4DH68,KVD24_HUMAN;KV224_HUMAN,7,7,7,6,6,7,7,7,7,6,7,6,7,7,6,6,7,7,7,7,6,6,7,6,6,7,5,5,7,7,6,64577.30859375,63579.57421875,53538.30078125,66500.71875,70387.921875,51886.91015625,68845.9140625,56829.4921875,62086.7734375,54846.37890625,56667.20703125,50233.6171875,55191.8515625,53095.68359375,83460.0625,88929.5625,79483.25,87756.59375,75099.21875,105704.75,104685.671875,54684.5234375,50358.71484375,56312.6953125,59964.0390625,57492.65625,47396.66015625,72323.515625,68474.734375,69065.4296875,60785.09765625
A0A075B6S2;A2NJV5,IGKV2D-29;IGKV2-29,Immunoglobulin kappa variable 2D-29;Immunoglobulin kappa variable 2-29,A0A075B6S2;A2NJV5,KVD29_HUMAN;KV229_HUMAN,3,3,4,4,4,3,3,3,4,4,3,3,3,3,4,4,3,4,3,4,4,3,3,3,3,3,3,3,4,4,4,1111372.75,1186511,934282.8125,915519.625,972926.4375,917891.6875,972856.0625,566335.875,651119.6875,587728.8125,582527.9375,565810.3125,541191.125,532765.3125,816077.8125,777516.6875,757786.125,768434.4375,897461.875,953797.5625,1004339,481561.90625,441419.53125,476792.65625,477740.78125,477738.6875,438434.1875,469194.53125,685451.5625,646654.75,651115.125
A0A075B6S5,IGKV1-27,Immunoglobulin kappa variable 1-27,A0A075B6S5,KV127_HUMAN,19,19,18,18,19,18,19,19,19,19,18,18,18,19,19,18,19,19,19,19,19,17,18,17,18,19,19,17,19,19,19,5875082,6401392,5222074,5559721.5,5564785,5238206,5691881.5,4982734,5920776.5,4507674,4914581.5,4534591,4840614,5038845,3626576.5,3305666,3560083,3348746.5,3393593,3976416,4230720.5,2637539,2535556.25,2896503.75,2637234.75,2499942.5,2625219,3048555.25,4219874.5,4010365.25,4118305
A0A075B6S6,IGKV2D-30,Immunoglobulin kappa variable 2D-30,A0A075B6S6,KVD30_HUMAN,5,4,5,5,5,4,4,3,4,3,3,4,3,3,5,4,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,68921.609375,41707.609375,86846.390625,83636.828125,107474.3984375,91212.375,112481.2109375,69094.7109375,35828.3984375,74811.1484375,74883.171875,73894.5859375,79789.0625,88740.84375,51031.96875,52526.11328125,52457.1484375,50292.76171875,51753.65625,57679.00390625,55090.6796875,56728.51953125,57773.1640625,61050.5390625,61951.54296875,57961.09375,56381.53515625,63212.73828125,74124.9609375,66680.390625,61275.70703125
A0A075B6S9;P0DSN7,IGKV1-37;IGKV1D-37,Probable non-functional immunoglobulinn kappa variable 1-37;Probable non-functional immunoglobulinn kappa variable 1D-37,A0A075B6S9;P0DSN7,KV137_HUMAN;KVD37_HUMAN,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,3,4,4,4,4,4,384920.625,390357.6875,338450.125,357464.21875,370689.40625,349383.84375,375153.59375,306604.03125,320370.5,287968.875,311911.0625,304967.9375,301525.78125,308307.375,178446.765625,175962.625,179356.578125,174486,174894.5625,198567.96875,194679.984375,137354.03125,136786.328125,143680.921875,154292.734375,130002.796875,150408.5625,162312.09375,250808.78125,257170.265625,254545.09375
A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,A0A0A0MRZ8;P04433,KVD11_HUMAN;KV311_HUMAN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,823443.0625,813732.9375,738045.8125,763663,817785.8125,769815.0625,841418.3125,764049.5,858583,753176.1875,783430.875,791685.0625,780303.5625,801634.375,984177.25,911758.5625,896700.4375,942193.9375,976586.25,1060234.25,1092518,706924.0625,698744.5625,742095.25,715490.5,722307.9375,760436.25,815649.375,815483.9375,830342.125,827475.3125
A0A0A0MS14,IGHV1-45,Immunoglobulin heavy variable 1-45,A0A0A0MS14,HV145_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5285.5078125,984.4459838867188,5224.783203125,5258.76025390625,6375.203125,6928.2841796875,5464.10107421875,10037.2626953125,3000.302490234375,9543.7978515625,10915.1201171875,9731.951171875,9326.8212890625,11066.9052734375,12743.7021484375,13730.65234375,13247.517578125,13208.1181640625,12338.5576171875,15068.65234375,14273.34765625,4386.966796875,6295.24267578125,5313.90673828125,4351.80224609375,4452.806640625,3640.751708984375,6088.61083984375,8205.12109375,8251.978515625,8427.255859375
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,A0A0A0MS15,HV349_HUMAN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,113976.3359375,114686.53125,104899.0546875,102817.515625,114081.34375,97332.8984375,116783.5625,61924.7890625,58740.7734375,59856.625,60293.26171875,58150.2265625,66012.5078125,61281.6015625,69495.34375,67117.296875,66227.7890625,59083.828125,67654.5234375,66225.515625,63946.70703125,56724.7890625,48161.2890625,56274.375,59436.125,53994.8515625,58073.57421875,58380.92578125,74967.9921875,72611.7265625,70703.3984375
A0A0A0MT36,IGKV6D-21,Immunoglobulin kappa variable 6D-21,A0A0A0MT36,KVD21_HUMAN,4,4,4,3,3,3,3,4,3,4,4,3,3,4,4,4,3,3,4,4,3,3,3,4,3,3,3,3,3,4,4,85004.7265625,73417.1484375,74512.6484375,71719.0859375,82715.75,76389.953125,83038.65625,41248.62109375,57682.859375,42241.1796875,49038.30859375,51003.84765625,49546.140625,52139.23828125,51668.2421875,53566.8671875,43021.7578125,37018.58203125,51707.53515625,59936.9921875,61191.5,33537.421875,32882.58984375,35574.07421875,27603.193359375,28067.9609375,35110.02734375,42550.6484375,70718.6484375,55488.9921875,60752.40625
A0A0B4J1U3,IGLV1-36,Immunoglobulin lambda variable 1-36,A0A0B4J1U3,LV136_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18014.880859375,18932.943359375,16108.7958984375,17598.05859375,17425.724609375,16557.185546875,18679.05078125,20844.197265625,19349.9765625,18143.859375,18296.4453125,20614.7265625,21866.328125,20319.88671875,14858.8125,14462.9677734375,13645.1806640625,15661.0439453125,16313.861328125,18509.80859375,16944.19921875,41549.24609375,37326.76953125,43539.65625,41675.65625,43293.4375,43034.35546875,44323.8203125,21827.44140625,23797.044921875,23992.005859375
A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1,A0A0B4J1U7,HV601_HUMAN,5,6,6,6,6,6,6,5,6,5,5,5,6,5,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,79058.4453125,96922.6171875,75075.25,75722.5546875,76356.609375,72310.9296875,83650.234375,48502.0078125,57407.04296875,49729.7421875,48450.7109375,49287.265625,49687.56640625,48779.328125,160206.203125,149660.515625,151834.203125,159684.71875,156724.375,191154.890625,184262.3125,38302.84375,33078.66015625,40136.59375,40779.70703125,39221.45703125,36569.109375,36992.8125,81591.7265625,82183.9453125,78622.1015625
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,A0A0B4J1V0,HV315_HUMAN,7,6,6,7,6,6,6,8,8,8,8,6,8,8,8,8,8,8,8,8,8,6,7,5,6,6,6,6,8,8,7,39926.703125,51771.7421875,34215.1953125,40329.07421875,38916.00390625,31406.64453125,53067.640625,53947.1796875,52254.1171875,46126.234375,49392.515625,51346.734375,51298.7109375,47676.05859375,71519.9453125,70291.140625,64988.4609375,72384.84375,60440.7265625,83162.921875,79235.765625,24652.236328125,28667.228515625,29223.2578125,31952.69140625,29449.931640625,31458.90625,33330.2421875,39789.6953125,47616.234375,51311.09375
A0A0B4J1V1,IGHV3-21,Immunoglobulin heavy variable 3-21,A0A0B4J1V1,HV321_HUMAN,13,12,12,12,12,12,12,12,13,11,13,11,12,11,12,12,12,11,12,12,13,11,11,11,11,11,11,10,13,13,12,1020113.0625,1068141.25,957406.8125,994448.3125,1109970.75,1011388.375,1098098.125,965771.375,923334,949268.5,943780.375,908778.75,986682.5625,949966.5,1000749.5,988804.75,940298.8125,994109.5,925024.6875,1152072.75,1099095.5,664569.625,666548.6875,725222.0625,681794.1875,665376.8125,630884.1875,702822.25,916025.1875,890682.75,902123.25
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,A0A0B4J1V2,HV226_HUMAN,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,3,3,4428.60107421875,3869.12158203125,4137.4755859375,3231.455810546875,5489.49072265625,3214.51611328125,3054.450927734375,11785.619140625,14790.060546875,11429.546875,12577.267578125,11531.5703125,11726.6826171875,9527.6162109375,10582.982421875,8153.09912109375,8725.36328125,9231.4052734375,8343.3271484375,10327.169921875,9780.607421875,9749.189453125,9588.65625,12205.27734375,10888.3193359375,9894.4404296875,9370.751953125,10738.3193359375,9730.3271484375,8857.5810546875,9638.7236328125
A0A0B4J1V6,IGHV3-73,Immunoglobulin heavy variable 3-73,A0A0B4J1V6,HV373_HUMAN,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,89467.6171875,97263.8828125,87512.640625,100155.703125,92988.6484375,91220.46875,114140.3671875,67286.34375,74195.6015625,60098.9375,64298.875,59495.6171875,64245.359375,62611.3671875,31165.796875,22445.041015625,20202.666015625,26749.765625,26358.35546875,33288.98046875,23805.830078125,34228.3984375,34718.03125,39313.98828125,39294.76953125,35593.27734375,38548.55859375,39940.9609375,57398.8828125,56733.66796875,59118.3984375
